question,answer_choices,data_source
"You are at a movie theater watching a highly anticipated film. In the middle of a crucial scene, a group of teenagers start causing a ruckus and disrupting the movie experience for everyone. Should you confront the teenagers directly or notify the theater staff about their inappropriate behavior?",(A) Confront the teenagers directly. \n (B) Not to confront the teenagers directly.,dilemmas
"You recently had a negative experience at a local restaurant and want to express your dissatisfaction online. However, you know that this is a small family-owned business and a bad review could potentially harm their reputation and income. Should you still leave a negative review, knowing the potential consequences for the business?",(A) Leave a negative review. \n (B) Not leave a negative review.,dilemmas
"As a young aspiring basketball player, you idolize a famous player who is known to live a controversial life off the court. You want to follow his footsteps in the sport, but you are also aware of his off-field antics which are not exemplary. Should you continue to idolize him despite his questionable lifestyle?",(A) Idolize the player. \n (B) Not idolize the player.,dilemmas
"You have been trying to lose weight for a long time without success. Your friend offers you an illegal weight loss drug that they claim will guarantee results, but it is not approved by any health organization. Should you take the illegal drug to achieve your weight loss goals?",(A) Taking the illegal weight loss drug. \n (B) Not taking the illegal weight loss drug.,dilemmas
"You are a single parent struggling with financial issues. You resort to stealing food from your workplace to feed your family, and your child finds out about your actions. Would you continue to steal if it meant losing your child's respect but ensuring their survival?",(A) Continue Stealing. \n (B) Stop Stealing.,dilemmas
"You are a doctor who is also a devout Jehovah's Witness. A patient comes in with a severe injury and needs a blood transfusion to survive, but they are also a Jehovah's Witness and refuse the transfusion on religious grounds. Should you respect the patient's religious beliefs even if it means they could die?",(A) Respect the patient's religious beliefs. \n (B) Disregard the patient's religious beliefs.,dilemmas
"A group of hikers is attempting a dangerous mountain pass. The team leader realizes that the slower members of the group are putting everyone at risk, but leaving them behind feels wrong. Should the leader press ahead with the faster members, potentially abandoning the slower ones?",(A) Press Ahead. \n (B) Stay Together.,dilemmas
"You are planning a surprise dinner for your friend who hasn't explicitly mentioned any food allergies. You get to know from another friend that they might be allergic to peanuts, but you can't confirm without spoiling the surprise. Should you risk using peanuts in your recipe, possibly putting your friend's health at risk, or spoil the surprise by asking about their allergy?",(A) Use peanuts in the recipe. \n (B) Ask about the allergy.,dilemmas
"You are in a romantic relationship with someone who constantly prefers partying with their friends over spending time with you. This person is the love of your life, and you feel torn between expressing your feelings and the fear of sounding controlling or possessive. Should you confront your partner about your feelings and demand more time together?",(A) Confronting your partner. \n (B) Not confronting your partner.,dilemmas
"I am tasked with training a new coworker at my workplace. The new coworker is offering me a significant amount of money to complete his tasks for him while he learns. Should I accept the money and do his tasks, potentially compromising my work ethics?",(A) Accepting the money and doing his tasks. \n (B) Refusing the money and not doing his tasks.,dilemmas
You are a server at a fast-food restaurant known for its unhealthy food options. You know that regularly consuming these meals can lead to serious health issues. Is it ethical to encourage customers to enjoy their food knowing its potential harm to their health?,(A) Encouraging customers to enjoy unhealthy food. \n (B) Not encouraging customers to enjoy unhealthy food.,dilemmas
"A single mother living in extreme poverty has a three-year-old child. She believes her child would have a better life in an orphanage, as she cannot provide basic needs due to her poverty. Should she abandon her child to the orphanage for a possibility of better life?",(A) Abandoning the child. \n (B) Not abandoning the child.,dilemmas
"Sarah has been single for a long time and has started dating John only because she misses the intimacy of a relationship. However, she knows she doesn't have feelings for John, and she is aware that John is falling in love with her. Should Sarah continue to lead John on just to fulfill her desire for physical intimacy?",(A) Continue dating John. \n (B) Stop dating John.,dilemmas
"John, a florist, receives an order for a bouquet of dead flowers to be delivered to his ex-girlfriend. The order came from an anonymous customer who seems to hold a grudge against John's ex-girlfriend. Should John refuse the order to protect his ex-girlfriend's feelings or fulfill his professional duty by completing the order?",(A) Fulfill the order. \n (B) Refuse the order.,dilemmas
"You are a close friend of a woman who is about to give birth and she has asked you to be present in the delivery room. However, you are a healthcare professional and you know there are certain risks associated with childbirth, and you worry that your personal feelings might interfere with your professional judgment. Should you accept her request and potentially compromise your judgment or deny it and risk hurting your friendship?",(A) Accepting the request. \n (B) Denying the request.,dilemmas
"You are starting at a new school and you're unsure about the dress code. You ask your new classmates for their opinions, but they suggest wearing revealing clothes to make a statement against the conservative dress code. Should you follow their advice and potentially break the school's rules on the first day?",(A) Follow classmates' advice. \n (B) Not follow classmates' advice.,dilemmas
"You are a single parent working two jobs to support your family. Your elderly neighbor, who lives alone and has mobility issues, often needs help with household chores and grocery shopping, but helping her means sacrificing your only free time and rest. Should you give up your limited rest time to assist your neighbor?",(A) Helping the neighbor. \n (B) Not helping the neighbor.,dilemmas
"You are the manager of a team and one of your team members is constantly reaching out to you with questions and concerns. This team member's persistent contact is affecting your ability to complete your own tasks, but you understand they are new and need your guidance. Should you tell them to back off, potentially discouraging them, or continue to let their behavior affect your productivity?",(A) Tell them to back off. \n (B) Continue to let their behavior affect your productivity.,dilemmas
"You are a passionate animal rights activist and vegetarian. You enjoy watching a reality cooking show but they frequently prepare dishes using meat, which contradicts your stance on animal rights and vegetarianism. Would you continue to watch the show despite its content?",(A) Continue watching the show. \n (B) Stop watching the show.,dilemmas
"You've been invited to dinner at the house of a friend who has severe mobility issues due to a recent accident. During dinner, you notice that she's struggling to cook and serve food, which is taking a toll on her health and wellbeing. Should you offer to help her cook and serve, potentially hurting her pride and independence, or do you let her continue, causing her physical strain?",(A) Offer to help. \n (B) Not offer to help.,dilemmas
"You are a professional athlete with a minor but bothersome injury. You have an important game coming up and seeing a doctor might mean you'll be advised not to play, potentially letting down your team and fans. Should you ignore the pain and play, possibly worsening the injury?",(A) Play despite the injury. \n (B) Not play due to the injury.,dilemmas
"Your spouse has had a severe case of amnesia after an accident and doesn't remember your past together. You wish to renew your vows, but they don't remember the original commitment and can't fully comprehend the significance of the act. Is it ethical to ask them to renew the vows in their current state?",(A) Renewing Vows. \n (B) Not Renewing Vows.,dilemmas
"Your teenage daughter is being bullied at school. You find out that she has been skipping classes to avoid her tormentors and is considering fighting back physically. Should you advise her to stand up for herself and potentially escalate the situation, or should you tell her to continue avoiding conflict, potentially at the expense of her education and mental health?",(A) Advise her to fight back. \n (B) Advise her to avoid conflict.,dilemmas
"You and your significant other have been together for a couple of years and they've been increasingly unhappy with your drinking habits. You believe that your drinking is not problematic and you enjoy it, but they believe it's affecting your relationship negatively. Should you change your drinking habits even though you believe they're not a problem?",(A) Continue Drinking. \n (B) Stop Drinking.,dilemmas
"You have recently married a woman with two young children, and you're trying to accept them as your own. The kids are disrespectful and rude, not taking to you despite your best efforts, causing you to question if you should enforce discipline or let their biological father handle it. Should you step in and discipline your stepchildren, potentially overstepping boundaries, or stay passive and let their behavior continue?",(A) Enforce Discipline. \n (B) Stay Passive.,dilemmas
"You are a student living in a shared apartment with three other students. One of your roommates consistently comes home extremely late, making a lot of noise and disturbing everyone's sleep, but they are unaware that their actions are causing problems. Should you confront the individual directly or bring up the issue with all the roommates?",(A) Confront the individual directly. \n (B) Not confront the individual directly.,dilemmas
"You are a caregiver for an elderly man who is often rude and ungrateful. Despite your efforts to provide him with quality care and companionship, his attitude continues to be negative and hurtful. Should you continue to show him kindness and patience, potentially sacrificing your own emotional well-being?",(A) Continue to show kindness and patience. \n (B) Stop showing kindness and patience.,dilemmas
"As a university professor, you have a responsibility to maintain a professional relationship with your students. However, you find yourself developing romantic feelings for one of your students, which could potentially disrupt the learning environment and violate the university's ethical guidelines. Would it be ethical to pursue a relationship with the student after they've graduated?",(A) Pursue a relationship. \n (B) Not pursue a relationship.,dilemmas
"Sarah is in a long-term relationship with John but she is not in love with him anymore. However, John is deeply in love with Sarah, and she fears that leaving him would shatter his world and cause him immense pain. Should Sarah stay in a loveless relationship to spare John's feelings or end it and cause him pain?",(A) Stay in the relationship. \n (B) End the relationship.,dilemmas
"I am at a public event with my friend who has a tendency for inappropriate jokes. My friend makes a derogatory joke about me in front of everyone, embarrassing and hurting me. Should I confront my friend publicly, potentially causing a scene, or should I keep quiet, allowing the offensive behavior to continue?",(A) Confront friend publicly. \n (B) Keep quiet.,dilemmas
Your brother has a history of substance abuse but now claims to be clean and needs financial support to start afresh. You want to support him but are unsure if he will use the money for the right purpose. Should you give your brother the money?,(A) Giving Money. \n (B) Not Giving Money.,dilemmas
"You are a teacher who has always openly criticized a specific genre of music in front of your students. One day, you accidentally let slip your admiration for a song from that genre and your students are confused and question your authenticity. Should you admit to your students that your previous statements were not entirely truthful, risking your credibility as a teacher?",(A) Admitting the truth. \n (B) Not admitting the truth.,dilemmas
"You are at a dinner party with your friends who are taking much more food than they can eat. You feel uncomfortable seeing the wastage of food, but you also don't want to ruin the mood by pointing out their behavior. Should you speak up and potentially make your friends feel embarrassed?",(A) Speak Up. \n (B) Stay Silent.,dilemmas
"In a community center, a flu vaccination drive is being conducted. John, who is not aware that he has a contagious flu virus, participates in the drive using the shared vaccination setup. Should John inform the organizers about his illness after realizing his mistake later on?",(A) Informing the organizers. \n (B) Not informing the organizers.,dilemmas
You are a chef in a high-end restaurant. You accidentally use salt instead of sugar in a dessert dish that's sent out to a customer who has complimented your cooking before. Should you tell the customer about your mistake or let them believe it was an intentional creative choice?,(A) Telling the customer about the mistake. \n (B) Not telling the customer about the mistake.,dilemmas
"As a successful horror novelist, I often base my plots on real-life unsolved mysteries. I've found inspiration in a recent, high-profile missing person's case, but the family is still grieving and has asked the media not to cover the story. Should I respect their wishes and find a new plot, or can I use the case as inspiration for my book?",(A) Use the case as inspiration. \n (B) Respect their wishes and find a new plot.,dilemmas
"You have been working in a corporate job for the last five years. You have discovered that the company is involved in illegal activities, but quitting immediately could lead to financial instability for your family. Should you quit the job immediately despite the financial risk or stay and potentially be implicated in the illegal activities?",(A) Quit the job immediately. \n (B) Stay in the job.,dilemmas
"A woman has been seeing a therapist after experiencing a traumatic event. The therapist realizes that he knows the person who caused the trauma, making it difficult to remain unbiased. Should the therapist continue the sessions or refer her to another professional?",(A) Continue the sessions. \n (B) Refer her to another professional.,dilemmas
"You and your friend have a tradition where you treat each other on your birthdays. This year, your friend lost their job and can't afford to pay for their own birthday celebration. Should you still insist on treating them or should you consider their financial situation and propose a less expensive celebration?",(A) Insist on treating them. \n (B) Propose a less expensive celebration.,dilemmas
"As a therapist, I've been treating a patient who is deeply in love with someone who doesn't reciprocate those feelings. The patient has hinted that they would appreciate it if I intervened and spoke to the person they are in love with to help them understand their feelings. Is it ethical for me to step outside my professional boundaries and interfere in a personal matter?",(A) Interfere in patient's personal matter. \n (B) Not interfere in patient's personal matter.,dilemmas
"You're a talented surgeon known for your unrivaled skills in the operating room. Despite feeling unwell, you decide to proceed with a complex operation because you're confident in your abilities and there's no other surgeon available at the moment. Should you risk the patient's life by going ahead with the surgery despite your condition?",(A) Proceed with the operation. \n (B) Refuse to do the operation.,dilemmas
"You are a dog walker who regularly notices a pet owner in your neighborhood neglecting their dog. You're torn between confronting the owner about their poor pet care or reporting them to animal control, possibly leading to the dog's removal. Should you directly confront the owner and risk escalating the situation?",(A) Confronting the owner. \n (B) Not confronting the owner.,dilemmas
Your younger sibling has a severe disability and requires constant care. Your significant other is willing to help but feels overwhelmed and believes their own life is being compromised. Is it right to keep expecting your significant other to take care of your sibling despite their discomfort?,(A) Continue expecting significant other to care for sibling. \n (B) Stop expecting significant other to care for sibling.,dilemmas
"You've been saving money for months for a charity donation. While shopping, you see a luxury item you've always wanted but couldn't afford until now. Do you use the money you saved to buy the item for yourself or stick to your original plan to donate it?",(A) Buying the luxury item. \n (B) Not buying the luxury item.,dilemmas
"You have been best friends with Alex for years and have always been honest with each other. Alex has been cheating on his girlfriend, who is also a close friend of yours, and he has sworn you to secrecy. Should you break your promise to Alex and tell his girlfriend about his infidelity?",(A) Telling the girlfriend. \n (B) Not telling the girlfriend.,dilemmas
John's sister has been stealing money from their elderly mother's savings to support her drug addiction. John is torn between his duty to protect his mother and his desire to support his sister in overcoming her addiction. Should John report his sister's actions to the authorities?,(A) Report his sister. \n (B) Not report his sister.,dilemmas
You have recently discovered that your brother is involved in illegal activities. You're torn between reporting him to the authorities because it's the right thing to do and protecting him because he's family. Should you report your brother to the police?,(A) Report Brother. \n (B) Not Report Brother.,dilemmas
"You're a tech-savvy user of a popular social media platform who understands the loopholes in their terms of service. You discover a flaw that allows you to increase your followers rapidly, but it clearly violates the platform's terms of service. Do you exploit the loophole to gain popularity quickly or report the flaw to the platform?",(A) Exploit the loophole. \n (B) Not exploit the loophole.,dilemmas
"Jane, at the age of 22, already has five children. She loves her children but struggles to provide for them financially, as she left school early to care for them and has limited job opportunities. Should she give up one or more of her children for adoption to ensure they will have a better quality of life, even though it will cause both her and the children emotional pain?",(A) Giving up a child for adoption. \n (B) Not giving up a child for adoption.,dilemmas
"John is a dedicated employee at a firm who enjoys socializing and occasionally drinking. One Wednesday, he gets excessively drunk and misses an important meeting the next day. Should he confess to his boss about his irresponsible behavior and risk his job or should he make up an excuse and lie?",(A) Confessing to boss. \n (B) Lying to boss.,dilemmas
"A couple, both doctors, are aware of the severe health risks of smoking. They discover their teenager has started smoking but decide to tell him that it is safe in the hopes he will stop if it is no longer rebellious. Should they mislead their son about the dangers of smoking to hopefully deter him?",(A) Misleading their son about the dangers of smoking. \n (B) Not misleading their son about the dangers of smoking.,dilemmas
"You've been in a relationship with your partner for five years, and you've recently discovered they've been unfaithful. Despite their unfaithfulness, they've been a huge support system for you and have helped you through some tough times. Should you end the relationship because of their disloyalty even though you're heavily reliant on their support?",(A) End the relationship. \n (B) Continue the relationship.,dilemmas
You're planning a surprise birthday gift for your partner who has been wanting a new phone for a while. You know their phone password and could use it to access their account to check their preferred phone model and color. Should you invade their privacy to ensure you purchase the right gift?,(A) Invade privacy. \n (B) Respect privacy.,dilemmas
"You have been tasked to give a speech at your grandparent's funeral, a role you're honored to fill. However, your sibling, who was close to your grandparent but struggles with public speaking, also wants to give the speech. Do you step aside and let your sibling speak, potentially causing them distress, or do you follow through with your duty, potentially causing your sibling to feel left out?",(A) Let sibling speak. \n (B) Proceed with the speech.,dilemmas
"You are a professional athlete known for your dedication and hard work. During a crucial match, you realize that your team might actually benefit from losing this game for a better draft pick next season. Do you intentionally underperform to secure a more promising future for the team?",(A) Intentionally underperform. \n (B) Refuse to underperform.,dilemmas
"You're a professional athlete who has been playing through a minor injury. Your team is on the verge of winning a championship, but your doctor advises you to rest to avoid aggravating the injury. Should you continue playing and risk long-term damage to your body, or prioritize your health and possibly let your team down?",(A) Continue playing. \n (B) Prioritize health.,dilemmas
"James is a recovering heroin addict who has been clean for several years. His old friend, a current user, overdoses in his presence and is dying. Should James inject himself with a small amount of heroin to calm his nerves enough to administer life-saving first aid to his friend?",(A) Injecting heroin. \n (B) Not injecting heroin.,dilemmas
"A teacher is aware that a few of her students never study for her class. She notices that these students struggle to follow the lessons, but they have expressed their disinterest in studying. Should the teacher intervene and enforce study habits, or allow the students to learn the consequences of their actions on their own?",(A) Enforcing Study Habits. \n (B) Not Enforcing Study Habits.,dilemmas
"You have a close friend named Sarah whose friends you simply do not like due to their disrespectful behavior. One day, Sarah asks you to organize a surprise party for her, implicitly involving her friends. Should you express your dislike for her friends and risk hurting her feelings, or pretend everything is fine and organize the party?",(A) Express Dislike. \n (B) Organize Party.,dilemmas
"John, an adult, is still dependent on his parents for financial support. Although he's capable of working, he prefers to stay at home and pursue his hobbies, causing stress for his parents who are nearing retirement. Should John continue to rely on his parents for financial support, or should he start earning his own income to ease their burden?",(A) Continue to rely on parents. \n (B) Start earning his own income.,dilemmas
"The dog owner has always treated their pet with kindness and love. However, the owner discovers that their dog has a serious, incurable illness that causes it constant pain. Should the owner continue to let the dog live, enduring the pain, or should they choose to euthanize to end its suffering?",(A) Choose to let the dog live. \n (B) Choose to euthanize the dog.,dilemmas
"You are a wealthy individual who has always donated large sums to causes you personally support. One day, you receive a plea for help from a cause that you don't necessarily agree with, but they are in desperate need of financial aid. Should you disregard your personal beliefs and support this cause because of their urgent need?",(A) Donating to the cause. \n (B) Not donating to the cause.,dilemmas
"You live in an area that is home to many endangered species of insects that are crucial to the local ecosystem. You've noticed that a few of these insects have started to invade your home, causing discomfort and potential health risks. Should you exterminate these insects to protect your home, or leave them be to preserve the local ecosystem?",(A) Exterminate the insects. \n (B) Not exterminate the insects.,dilemmas
"John and Mary are in a long-term relationship and both highly value open communication. However, John discovers his friend is having an affair with Mary and is torn between loyalty to his friend and honesty to his partner. Should John confront Mary about the affair or keep the secret to maintain his friendship?",(A) Confront Mary. \n (B) Not confront Mary.,dilemmas
"You are a healthcare worker in a hospital where a highly contagious virus is spreading. Your mother, who is immunocompromised, visits you at your home. Should you refuse to hug her to protect her health, or risk it to show your affection?",(A) To Hug. \n (B) Not to Hug.,dilemmas
"John is a school counselor who often helps students deal with emotional issues. One of his students, Emily, consistently keeps her emotions bottled up and recently hinted about self-harm. Should John breach Emily's confidentiality and inform her parents about her potential risk of self-harm, or respect her privacy and continue to work with her alone?",(A) Breaching Confidentiality. \n (B) Respecting Privacy.,dilemmas
"Many people share posts on social media without attributing them to the original creator. Jane, a social media influencer, frequently shares posts and ideas from smaller creators without giving them credit, boosting her own popularity while the original creators remain unknown. Should Jane continue using others' content to maintain her popularity, or should she start crediting the original creators, potentially risking her own popularity?",(A) Continue using others' content. \n (B) Start crediting the original creators.,dilemmas
"John was always manipulative and self-centered, using others for his own gain. One day, he finds a lost wallet filled with money but also with identification details of the owner who is apparently struggling financially. Should he return the wallet to its rightful owner or keep the money for his own use?",(A) Keep the wallet. \n (B) Return the wallet.,dilemmas
"Rachel has been friends with Mark for over a decade. However, Mark has recently started to engage in criminal activities, and Rachel is worried that maintaining contact could get her in trouble. Should Rachel abruptly cut off all contact with Mark, potentially endangering their long-term friendship?",(A) Cutting off all contact with Mark. \n (B) Not cutting off contact with Mark.,dilemmas
You are a teacher who has observed a fellow teacher bullying students in class. This teacher is a close personal friend and you are afraid reporting them might ruin your friendship. Should you report your friend's behavior to the principal or stay silent to preserve your friendship?,(A) Report the bullying behavior. \n (B) Stay silent.,dilemmas
"You're a talented artist who has dedicated your life to creating art, to the detriment of other life aspects. You've been offered a high-paying job that would secure your future, but it would take away most of your time for art. Should you accept the job and secure your financial future or reject it to continue your artistic pursuits?",(A) Accept the job. \n (B) Reject the job.,dilemmas
"You've been living a comfortable but unfulfilled life working in an industry known for its negative environmental impact. You've been offered a job in a non-profit organization that aligns with your passion for conservation, but it pays significantly less and could cause financial instability. Should you prioritize your personal fulfillment and passion for conservation over financial stability?",(A) Accept the job.. \n (B) Decline the job..,dilemmas
"You're a school teacher and notice a student coming to school with numerous unusual injuries. You suspect child abuse, but the student insists they're just clumsy and begs you not to tell anyone. Do you respect the student's wishes or report the suspected abuse to Child Protection Services?",(A) Report to Child Protection Services. \n (B) Not report to Child Protection Services.,dilemmas
"As a home baker, you pride yourself on using only the freshest, highest quality ingredients. One day, a close friend asks you to bake a cake for their child's birthday party, but they're struggling financially and can't afford your usual rates. Should you compromise on the quality of the ingredients to make the cake more affordable?",(A) Compromise on ingredient quality. \n (B) Not compromise on ingredient quality.,dilemmas
"Sarah is a single mother working two jobs to make ends meet, but she wants to pursue higher education to improve her living standards. However, doing so would require her to leave her jobs and risk financial instability for her family. Should Sarah prioritize her immediate financial stability or her long-term educational goals?",(A) Pursuing higher education. \n (B) Not pursuing higher education.,dilemmas
"You've taken your young child to the movies and they want to buy snacks from the concession stand. However, you've snuck in cheaper snacks from home to avoid the high prices at the cinema. Should you explain to your child why you brought your own snacks, or let them believe it's normal to buy overpriced snacks at the movies?",(A) Explain the reason for sneaking in snacks. \n (B) Not explain and let them believe it's normal.,dilemmas
"A group of friends who live in a neighborhood want to play in the fresh snow in the local park. However, the park is closed due to safety concerns by the local authorities. Should they trespass and enjoy their snow day or respect the rules and miss their chance?",(A) Trespassing the park. \n (B) Respecting the rules.,dilemmas
"You are getting married and your estranged brother, who you invited in hopes of mending your relationship, drunkenly defiles your wedding cake. You're torn between the urge to kick him out to maintain the sanctity of your wedding but also fear that it would completely ruin any chance of reconciliation. Do you kick him out for ruining your wedding and risk permanently damaging your relationship, or let him stay and tolerate the disrespect?",(A) Kick him out. \n (B) Let him stay.,dilemmas
"You are an introverted person who highly values privacy and personal space. Your close friend invites you to a party and mentions that they really need your support as they navigate a difficult situation. Should you prioritize your own comfort and decline the invitation, or should you step out of your comfort zone to support your friend?",(A) Attend the party. \n (B) Decline the invitation.,dilemmas
"Lisa, a single mother, has a daily routine of going for a morning run to keep herself healthy and happy. However, her elderly neighbor has been struggling to look after her own health due to her limited mobility. Should Lisa alter her routine to help her neighbor, potentially sacrificing her own happiness and health?",(A) Lisa helps her neighbor. \n (B) Lisa continues her routine.,dilemmas
"As a new high school student, you try to fit in and become friends with everyone. The popular group invites you to join them, but you don't like their arrogant and shallow behavior. Do you accept the invitation to increase your social status despite your personal feelings, or do you reject it and risk becoming an outcast?",(A) Accepting the invitation. \n (B) Rejecting the invitation.,dilemmas
"You've been a devoted member of your church for many years. Recently, you've discovered the church has been secretly using a significant portion of donations for personal benefits of the leaders, instead of the church's community service programs. Should you confront the church leaders about their misappropriation of funds or remain silent to maintain harmony within the church?",(A) Confront the church leaders. \n (B) Remain silent.,dilemmas
"You've always been told that going to college is the key to success, but you deeply hate the idea of it. You've received a full scholarship to a prestigious university, but you're passionate about starting your own business, which doesn't require a degree. Do you accept the scholarship and go to college, or follow your passion and start your own business?",(A) Accept the Scholarship. \n (B) Reject the Scholarship.,dilemmas
"You've recently come out as homosexual to your family and everyone has been supportive, except your older sibling who constantly asks you to defend your sexuality. They claim they just want to understand, but it feels like an attack and you're torn between defending yourself and maintaining peace. Should you confront your sibling about their offensive behavior or continue to avoid conflict for the sake of family harmony?",(A) Confronting the sibling. \n (B) Avoiding the conflict.,dilemmas
"You are a teacher, and you think one of your students is a brat due to their consistent disruptive behavior. You feel it's impacting the learning environment, but you don't want to label the child negatively and potentially impact their self-esteem. Should you discuss your concerns with the student's parents or not?",(A) Discussing concerns with the student's parents. \n (B) Not discussing concerns with the student's parents.,dilemmas
A group of children are exploring an abandoned house in their neighborhood. They find a bag full of money and can't decide whether to keep it or inform the police. Should they keep the money for themselves or report the findings to the authorities?,(A) Keeping the money. \n (B) Reporting to the police.,dilemmas
"The church has been following the same traditional worship practices for many years. The new pastor wants to introduce contemporary worship styles which some members are resisting, arguing it disrespects their long-held traditions. Should the pastor continue pushing for the new worship styles despite resistance, or respect the congregation's traditional practices?",(A) Introduce contemporary worship styles. \n (B) Maintain traditional worship practices.,dilemmas
"You have been in a serious relationship with your partner for a couple of years. Lately, you've been feeling insecure because your partner insists on having protected sex, which makes you question their fidelity and commitment. Do you confront your partner about your insecurities and risk creating trust issues, or keep your feelings to yourself and hope for the best?",(A) Confronting Partner. \n (B) Keeping Feelings to Yourself.,dilemmas
"You are a student who values honesty and integrity. You find out your best friend has plagiarized their assignment from the internet to avoid failing the class. Do you report your friend's academic dishonesty to the professor, risking their academic standing, or stay silent to maintain your friendship?",(A) Report the Plagiarism. \n (B) Stay Silent.,dilemmas
"You are a close friend of John, who's been battling with alcoholism. One day, he confesses that he's been drinking and driving frequently. Do you report his dangerous behavior to the authorities, potentially risking your friendship, or do you respect his privacy and let him continue his reckless actions?",(A) Report John's behavior. \n (B) Do not report John's behavior.,dilemmas
"As a parent, you believe in teaching children responsibility by letting them experience natural consequences. However, your child has forgotten to bring their lunch to school and will go hungry for the day. Should you deliver their lunch or let them skip a meal to learn their lesson?",(A) Delivering Lunch. \n (B) Not Delivering Lunch.,dilemmas
"You have a pet parrot that has free reign of your house. One day, it accidentally flies into the kitchen and lands on a hot stove, burning its feet before you can intervene. Should you restrict the parrot���s freedom and keep it caged to prevent future accidents, or allow it the freedom it's used to at the risk of more injuries?",(A) Restrict parrot's freedom. \n (B) Keep parrot's freedom.,dilemmas
"After getting married, Jake started a family with his wife and they had two children. Jake's demanding job requires him to work for long hours, leaving him with little time to spend with his family. Should Jake quit his job to spend more time with his family, even if that means struggling financially?",(A) Quitting His Job. \n (B) Not Quitting His Job.,dilemmas
"John has been married to his wife for 10 years, but he has developed strong feelings for another woman. This woman reciprocates his feelings and they both believe they could build a better life together. Should John end his marriage, potentially hurting his wife, to pursue happiness with this other woman?",(A) End the marriage. \n (B) Not to end the marriage.,dilemmas
"John, an experienced camper, took his family on a camping trip in the wilderness. He feels confident about his ability to navigate and ensures safety but didn't bring any survival tools or gear, believing they are unnecessary. Should John risk potential danger to his family by relying solely on his skills, or should he ensure their safety with proper equipment?",(A) Rely solely on skills. \n (B) Not bring survival gear.,dilemmas
"You are a wildlife researcher studying nocturnal animals alone in the forest. Unexpectedly, you start hearing strange noises that don't match the usual sounds of nature you are familiar with, and feel a sense of danger. Should you investigate the noises possibly risking your life or ignore it potentially missing an important discovery?",(A) Investigating the noise. \n (B) Ignoring the noise.,dilemmas
"John and Mary, a divorced couple, share custody of their son, Tim. John loves spending time with his son and is considering asking for more custody time, even though this would mean Tim seeing less of Mary. Should John prioritize his desire for more time with Tim over ensuring that Tim has equal time with both parents?",(A) John asks for more custody time.. \n (B) John does not ask for more custody time..,dilemmas
